MS SubClass,Lot Area,Overall Qual,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Area,Bsmt Full Bath,Full Bath,SalePrice,years_to_sell,Roof Style_Hip,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Exter Qual Ord,Bsmt Qual Ord,Heating QC Ord,Kitchen Qual Ord,Fireplace Qu Ord
20,9600,7,320.0,1242.0,1242,6,528.0,0.0,1,175500,34,1,0,0,0,3,3.0,2,3,3.0
20,8428,5,0.0,990.0,990,5,384.0,1.0,1,146000,13,0,0,0,0,3,4.0,5,3,0.0
20,9937,5,0.0,1256.0,1256,6,276.0,1.0,1,147500,43,0,0,0,0,4,3.0,4,3,0.0
20,13891,10,0.0,2076.0,2076,7,850.0,1.0,2,465000,0,0,0,1,0,5,5.0,5,5,4.0
85,9101,5,104.0,1097.0,1110,4,602.0,1.0,1,165500,31,0,0,0,0,3,4.0,5,4,3.0
50,12150,5,335.0,1050.0,1795,7,352.0,0.0,2,131500,54,0,0,0,0,3,3.0,5,3,0.0
20,11200,5,0.0,1040.0,1040,5,384.0,1.0,1,129500,43,1,0,0,0,3,3.0,5,3,0.0
70,9670,8,40.0,608.0,1873,9,786.0,0.0,1,257076,73,0,0,0,0,3,3.0,3,3,4.0
50,10998,5,0.0,984.0,1604,6,660.0,0.0,2,117000,68,0,0,0,0,3,3.0,5,3,0.0
70,7200,7,0.0,776.0,1502,6,270.0,0.0,1,149000,77,0,0,0,0,3,4.0,3,3,4.0
20,9920,5,110.0,1056.0,1063,6,280.0,1.0,1,128000,56,0,0,0,0,3,3.0,3,3,0.0
160,2448,7,106.0,764.0,1626,6,474.0,0.0,2,155000,5,0,0,1,0,4,4.0,5,4,0.0
160,2998,6,513.0,756.0,1524,4,440.0,0.0,2,166000,6,0,0,0,0,4,4.0,5,4,0.0
50,7804,4,0.0,1122.0,1981,7,576.0,1.0,2,135000,81,0,0,0,0,3,3.0,3,4,3.0
60,16692,7,184.0,1392.0,2784,12,564.0,1.0,3,250000,28,0,0,0,0,3,4.0,3,4,3.0
160,1476,4,0.0,546.0,1092,5,0.0,0.0,1,76000,40,0,0,0,0,3,3.0,5,3,0.0
20,10170,6,522.0,216.0,1575,5,400.0,0.0,1,155000,55,1,0,0,0,3,3.0,3,4,4.0
60,9364,6,143.0,663.0,1352,7,299.0,0.0,1,158000,41,0,0,0,0,3,3.0,3,3,0.0
160,2544,7,0.0,600.0,1200,4,480.0,1.0,2,149500,6,0,0,0,0,4,4.0,5,4,0.0
20,9888,5,0.0,936.0,936,5,240.0,0.0,1,121000,52,0,0,0,0,3,3.0,3,3,0.0
20,7942,6,0.0,1040.0,1040,6,293.0,0.0,1,136000,54,1,0,0,0,3,3.0,3,3,0.0
60,15038,6,0.0,916.0,1636,7,386.0,0.0,2,173000,12,0,0,0,0,3,4.0,4,3,3.0
60,11764,8,348.0,1152.0,2270,9,671.0,0.0,2,290000,11,0,1,0,0,4,4.0,5,4,4.0
60,9000,8,0.0,1184.0,2610,11,550.0,0.0,2,303477,0,0,0,0,0,4,4.0,5,5,4.0
20,20062,7,0.0,1420.0,1483,4,690.0,1.0,1,270000,33,1,0,0,0,4,4.0,4,3,3.0
50,7308,5,0.0,936.0,1740,6,225.0,0.0,1,122250,88,0,0,0,0,2,3.0,4,5,4.0
20,8750,5,0.0,1382.0,1382,6,350.0,0.0,1,153000,54,0,0,0,0,3,3.0,4,4,0.0
20,8402,5,0.0,1120.0,1120,6,0.0,0.0,1,147000,0,0,0,0,0,3,4.0,5,3,0.0
70,4000,7,0.0,531.0,1098,5,216.0,1.0,1,148500,77,0,0,0,0,3,4.0,3,3,4.0
160,3363,7,117.0,976.0,1708,7,380.0,0.0,2,130000,2,0,0,0,0,4,4.0,5,4,0.0
20,13615,9,510.0,1802.0,1802,7,843.0,0.0,2,372000,1,1,0,1,0,5,5.0,5,5,4.0
120,3013,7,145.0,1362.0,1506,6,440.0,0.0,2,213490,1,0,0,0,0,4,4.0,5,4,4.0
20,17485,7,96.0,1508.0,1508,5,572.0,1.0,1,308030,1,0,0,0,0,4,4.0,5,4,3.0
20,23730,7,668.0,1840.0,2032,7,786.0,1.0,3,300000,12,0,0,0,0,4,5.0,5,4,0.0
20,8910,6,0.0,655.0,1194,6,539.0,0.0,1,159500,47,1,0,0,0,3,3.0,5,3,2.0
160,2522,7,50.0,970.0,1709,7,380.0,0.0,2,137500,2,0,0,0,0,4,4.0,5,4,0.0
20,8688,7,228.0,1616.0,1616,7,834.0,0.0,2,232000,1,0,0,0,0,4,4.0,5,4,0.0
30,6291,6,0.0,768.0,768,4,440.0,0.0,1,93850,78,0,0,0,0,4,3.0,3,3,0.0
30,17529,5,65.0,872.0,872,5,322.0,0.0,1,105000,82,0,0,0,0,3,3.0,2,2,4.0
30,6324,4,0.0,520.0,520,4,240.0,0.0,1,68500,81,0,0,0,0,3,3.0,2,2,0.0
90,11600,5,361.0,1105.0,2274,12,480.0,0.0,2,154300,50,0,0,0,0,3,3.0,3,3,0.0
50,7288,5,0.0,936.0,1601,6,0.0,0.0,2,129850,82,0,0,0,0,4,3.0,5,3,0.0
70,4571,5,0.0,616.0,1232,6,480.0,0.0,1,114000,97,0,0,0,0,3,3.0,5,3,0.0
20,17423,9,748.0,2216.0,2234,9,1166.0,1.0,2,501837,1,1,0,0,1,5,5.0,5,5,4.0
50,12665,5,0.0,876.0,1416,7,720.0,0.0,1,153900,93,0,0,0,0,3,3.0,4,3,4.0
20,9000,4,0.0,864.0,864,5,576.0,0.0,1,130000,38,0,0,0,0,3,3.0,4,3,0.0
120,4500,6,197.0,1189.0,1189,4,392.0,1.0,2,160500,11,1,0,0,0,3,5.0,5,3,0.0
120,6373,9,572.0,1666.0,1666,6,575.0,1.0,2,310090,0,1,0,1,0,5,5.0,5,4,4.0
20,10083,7,0.0,1176.0,1200,5,555.0,1.0,2,184900,6,0,0,0,0,4,4.0,5,4,0.0
20,13300,5,0.0,928.0,928,4,252.0,0.0,1,132000,51,1,0,0,0,3,4.0,3,3,0.0
20,9600,5,128.0,1288.0,1336,6,502.0,0.0,2,163000,40,0,0,0,0,3,4.0,3,3,2.0
160,3215,7,120.0,600.0,1200,4,480.0,0.0,2,155000,6,0,0,0,0,4,4.0,5,4,0.0
80,11104,6,0.0,1427.0,1427,7,516.0,0.0,2,183000,39,0,0,0,0,3,3.0,4,3,0.0
60,15295,7,254.0,860.0,1992,7,608.0,1.0,2,211000,11,0,0,0,0,4,4.0,5,4,3.0
60,9109,7,0.0,754.0,1540,6,495.0,1.0,2,184000,15,0,0,0,0,4,4.0,5,4,0.0
90,7018,5,0.0,0.0,1535,8,400.0,0.0,2,118858,30,0,0,0,0,3,0.0,3,3,0.0
80,14112,5,86.0,1152.0,1152,6,484.0,1.0,1,180500,46,1,0,0,0,3,3.0,3,3,4.0
120,3523,8,30.0,1141.0,1151,5,484.0,1.0,2,166000,1,0,0,0,0,4,4.0,5,4,0.0
80,15312,6,54.0,1138.0,1138,6,480.0,0.0,1,148000,49,1,0,0,0,3,3.0,5,3,3.0
20,7450,5,0.0,894.0,1074,6,396.0,0.0,1,124000,51,1,0,0,0,3,3.0,4,4,4.0
120,7313,9,246.0,1561.0,1561,6,556.0,1.0,2,277500,2,1,0,1,0,5,5.0,5,5,4.0
60,10019,8,397.0,1342.0,2726,9,725.0,0.0,2,350000,11,1,1,0,0,4,4.0,5,4,5.0
20,15401,9,296.0,1884.0,1884,7,670.0,1.0,2,387000,4,1,0,0,1,5,5.0,5,5,4.0
30,9098,4,0.0,528.0,605,5,0.0,1.0,1,86000,87,0,0,0,0,3,3.0,5,3,0.0
20,16280,8,0.0,1426.0,1671,6,550.0,1.0,3,290000,32,0,0,0,0,5,4.0,5,5,4.0
30,9392,3,0.0,245.0,797,5,0.0,0.0,1,44000,109,0,0,0,0,3,2.0,3,3,0.0
60,12209,6,0.0,804.0,1961,7,560.0,1.0,2,215000,8,0,0,0,0,3,5.0,5,4,3.0
190,13110,5,144.0,1153.0,1193,6,501.0,1.0,2,146500,34,0,0,0,0,3,4.0,5,3,0.0
160,2651,7,0.0,673.0,1382,6,490.0,1.0,2,165000,6,0,0,0,0,4,4.0,5,4,0.0
50,8520,6,0.0,714.0,2526,10,216.0,0.0,2,136000,91,0,0,0,0,3,3.0,3,4,4.0
20,39384,6,902.0,1705.0,1390,4,550.0,1.0,1,252000,49,0,0,0,0,3,4.0,5,5,4.0
160,2628,7,106.0,764.0,1626,6,474.0,0.0,2,175500,7,0,0,1,0,4,4.0,5,4,0.0
70,6406,5,0.0,690.0,1558,7,400.0,0.0,1,150000,70,0,0,0,0,3,3.0,3,3,4.0
20,12342,5,0.0,978.0,1422,6,286.0,0.0,1,139900,47,1,0,0,0,3,3.0,3,3,3.0
50,6240,5,0.0,1078.0,1573,8,360.0,0.0,2,162900,78,0,0,0,0,3,3.0,3,3,4.0
20,10000,6,261.0,1116.0,1116,5,440.0,0.0,1,160000,48,1,0,0,0,3,3.0,3,3,0.0
20,9000,2,0.0,0.0,660,5,0.0,0.0,1,63900,62,0,0,0,0,3,0.0,2,2,0.0
20,11088,6,144.0,1140.0,1707,7,479.0,0.0,2,184000,31,0,0,0,0,3,3.0,4,3,3.0
20,17755,5,132.0,1466.0,1466,6,528.0,0.0,1,149900,47,0,0,0,0,3,3.0,3,2,4.0
120,4765,9,260.0,1614.0,1638,5,495.0,1.0,2,300000,8,1,0,0,0,4,4.0,5,5,3.0
190,10532,5,275.0,988.0,1721,7,626.0,1.0,2,145000,48,0,0,0,0,3,3.0,4,3,3.0
60,15426,6,0.0,928.0,1764,7,470.0,1.0,2,231500,12,0,0,0,0,3,4.0,5,4,0.0
30,13907,5,0.0,996.0,996,6,0.0,1.0,1,108000,68,0,0,0,0,3,3.0,5,3,4.0
20,8750,5,0.0,1202.0,1202,6,304.0,0.0,1,120000,53,0,0,0,0,3,3.0,3,3,0.0
20,9945,5,57.0,988.0,988,5,572.0,1.0,1,128500,46,1,0,0,0,3,3.0,3,3,0.0
30,8960,5,0.0,1008.0,1028,5,360.0,0.0,1,115000,83,0,0,0,0,3,3.0,4,3,4.0
50,3500,5,0.0,720.0,1284,5,240.0,0.0,1,110000,62,0,0,0,0,3,3.0,3,3,0.0
60,24572,9,1050.0,994.0,2944,9,864.0,0.0,2,150000,31,0,0,0,0,4,4.0,3,4,4.0
60,9056,8,0.0,707.0,1414,6,403.0,0.0,2,178000,2,0,0,0,0,4,5.0,5,4,4.0
70,12320,7,0.0,637.0,1609,8,579.0,0.0,1,199500,74,0,0,0,0,3,3.0,5,4,4.0
60,8238,6,0.0,813.0,1525,6,400.0,1.0,2,183500,9,0,0,0,0,3,3.0,5,3,3.0
80,6000,5,0.0,624.0,1656,7,288.0,0.0,1,126000,41,1,0,0,0,2,4.0,5,3,1.0
120,2529,7,0.0,1055.0,1055,4,440.0,0.0,2,148500,31,0,0,0,0,3,4.0,2,3,0.0
60,10800,5,0.0,676.0,1352,7,720.0,0.0,2,149000,70,0,0,0,0,3,3.0,5,4,0.0
160,2349,6,0.0,855.0,1456,6,440.0,0.0,2,137900,32,0,0,0,0,3,4.0,3,3,3.0
120,10846,8,0.0,1719.0,1719,6,473.0,2.0,1,324000,15,0,0,0,0,4,4.0,5,4,4.0
30,5604,5,0.0,864.0,864,5,0.0,1.0,1,98000,83,0,0,0,0,3,3.0,3,3,0.0
160,1680,6,359.0,483.0,987,5,264.0,0.0,1,103400,35,0,0,0,0,3,3.0,3,3,0.0
50,6342,5,0.0,780.0,1020,6,0.0,0.0,1,94000,135,0,0,0,0,3,3.0,4,3,0.0
120,4590,8,108.0,1554.0,1554,6,627.0,0.0,2,209500,1,0,0,1,0,4,4.0,5,4,4.0
60,18062,10,662.0,1528.0,3390,10,758.0,0.0,3,545224,0,1,0,0,1,5,5.0,5,5,5.0
70,12900,6,0.0,780.0,1560,7,0.0,0.0,1,159900,98,0,0,0,0,4,3.0,5,4,0.0
20,19138,4,0.0,864.0,864,4,400.0,0.0,1,141000,59,0,0,0,0,3,3.0,5,3,0.0
60,8658,6,0.0,982.0,1889,9,431.0,0.0,2,215000,6,0,0,0,0,3,4.0,5,3,3.0
20,6897,5,0.0,1040.0,1040,6,260.0,1.0,1,127000,48,0,0,0,0,3,3.0,5,3,0.0
20,9525,5,0.0,1172.0,1172,5,366.0,1.0,1,128000,56,0,0,0,0,3,3.0,3,3,0.0
20,12853,8,0.0,1642.0,1418,6,852.0,1.0,1,267916,0,0,0,0,0,4,5.0,5,4,4.0
50,6240,6,0.0,884.0,1367,6,560.0,0.0,1,127500,76,0,0,0,0,3,3.0,3,3,4.0
85,7301,7,500.0,0.0,1922,7,672.0,0.0,3,198500,6,0,0,0,0,4,0.0,5,4,5.0
20,12090,6,210.0,1422.0,1422,7,576.0,0.0,2,175500,27,0,0,0,0,3,4.0,3,4,3.0
60,8826,7,144.0,985.0,1842,7,486.0,1.0,2,217500,7,0,0,0,0,4,4.0,5,4,3.0
50,8094,4,0.0,888.0,1962,9,572.0,0.0,1,149500,95,0,0,0,0,3,3.0,5,3,3.0
20,10710,5,165.0,864.0,1120,5,656.0,0.0,1,148800,43,1,0,0,0,4,3.0,5,3,3.0
60,16056,9,208.0,1992.0,2868,11,716.0,0.0,3,556581,1,1,0,0,1,4,5.0,5,5,4.0
20,8400,6,0.0,1478.0,1478,6,442.0,1.0,1,156500,52,1,0,0,0,3,3.0,4,3,4.0
60,11250,7,0.0,930.0,1995,8,610.0,1.0,2,237000,11,0,0,0,0,4,4.0,5,4,3.0
20,7535,5,0.0,912.0,912,5,297.0,0.0,1,120000,49,0,0,0,0,3,3.0,2,3,0.0
20,12216,6,0.0,1326.0,1326,6,388.0,1.0,2,203000,2,0,0,0,0,3,4.0,5,4,0.0
120,3701,8,0.0,1191.0,1204,5,461.0,0.0,2,130000,19,0,0,0,1,3,4.0,3,3,0.0
60,9760,6,360.0,780.0,1611,7,442.0,1.0,1,167900,44,0,0,0,0,3,3.0,3,3,0.0
190,9873,4,160.0,960.0,960,6,576.0,1.0,1,129000,36,0,0,0,0,3,3.0,3,3,0.0
20,10011,5,64.0,1070.0,1236,6,447.0,0.0,1,134450,49,0,0,0,0,3,3.0,3,4,2.0
30,25339,5,0.0,816.0,1416,7,576.0,0.0,2,112000,89,0,0,0,0,3,3.0,5,4,0.0
60,8883,7,360.0,929.0,1873,7,619.0,1.0,2,207000,19,0,0,0,0,4,4.0,5,4,3.0
90,3000,5,0.0,1040.0,2128,11,0.0,0.0,2,62500,87,1,0,0,0,3,3.0,3,3,0.0
160,2448,7,106.0,764.0,1626,6,474.0,1.0,2,154000,5,0,0,1,0,4,4.0,5,4,0.0
20,7100,5,0.0,816.0,816,5,308.0,1.0,1,129900,49,0,0,0,0,3,3.0,3,3,0.0
160,2592,5,0.0,536.0,1112,4,336.0,0.0,1,85000,34,0,0,0,0,3,4.0,3,3,0.0
50,5700,7,0.0,572.0,1111,5,288.0,0.0,1,116900,82,0,0,0,0,3,3.0,3,3,4.0
160,2289,6,0.0,855.0,1441,7,440.0,0.0,2,148500,31,0,0,0,0,3,3.0,3,3,3.0
190,12180,4,0.0,672.0,924,5,280.0,1.0,1,80000,69,0,0,0,0,3,4.0,2,2,0.0
85,7400,5,0.0,1060.0,1126,5,506.0,1.0,1,152000,24,0,0,0,0,3,4.0,3,3,0.0
20,8842,5,0.0,381.0,992,6,319.0,0.0,1,155891,56,0,0,0,0,3,2.0,5,3,0.0
50,8850,6,0.0,768.0,1376,7,576.0,0.0,1,165000,87,0,0,0,0,3,3.0,5,4,0.0
20,9215,7,0.0,1218.0,1218,4,676.0,0.0,2,204500,1,1,0,0,0,4,4.0,5,4,0.0
70,9480,5,224.0,728.0,1644,7,312.0,0.0,1,146500,65,0,0,0,0,3,3.0,5,4,4.0
20,11880,7,206.0,1271.0,1601,7,478.0,0.0,2,157000,31,0,0,0,0,3,4.0,3,3,3.0
70,10800,7,0.0,1313.0,2495,10,342.0,0.0,2,184000,118,0,0,0,0,3,3.0,4,3,4.0
60,7861,6,0.0,783.0,1509,7,393.0,1.0,2,183200,4,0,0,0,0,4,4.0,5,4,4.0
20,11616,5,116.0,1092.0,1092,6,288.0,0.0,1,139000,47,0,0,0,0,3,3.0,3,3,1.0
60,10542,7,651.0,1311.0,2418,9,983.0,1.0,2,341000,15,1,1,0,0,4,4.0,5,4,3.0
160,1680,6,504.0,483.0,987,5,264.0,0.0,1,96000,39,0,0,0,0,3,3.0,3,3,0.0
20,8546,4,0.0,1121.0,1121,5,440.0,0.0,2,140000,7,0,0,0,0,3,4.0,5,3,0.0
20,7407,6,0.0,912.0,1236,6,923.0,1.0,1,149700,53,0,0,0,0,3,3.0,3,3,0.0
20,10140,5,0.0,1056.0,1074,6,495.0,1.0,1,153500,31,0,0,0,0,3,4.0,5,3,0.0
20,14584,1,0.0,0.0,733,4,487.0,0.0,1,13100,56,0,0,0,0,2,0.0,1,2,0.0
60,8158,7,252.0,884.0,1768,8,543.0,1.0,2,224900,5,0,0,0,0,4,4.0,5,4,0.0
20,7500,7,0.0,1257.0,1266,6,453.0,0.0,2,176000,1,0,0,0,0,4,4.0,5,4,3.0
50,10678,8,337.0,1683.0,2872,9,541.0,0.0,2,285000,15,1,1,0,0,4,4.0,5,4,3.0
20,15256,8,84.0,1485.0,1464,6,754.0,1.0,2,282922,0,0,0,0,0,4,4.0,5,4,0.0
60,14200,7,309.0,924.0,2157,8,487.0,0.0,2,226000,40,0,0,0,0,3,3.0,5,4,4.0
60,12438,8,466.0,1234.0,2576,10,666.0,0.0,2,361919,0,1,0,0,1,5,5.0,5,5,4.0
60,16023,9,600.0,1398.0,2798,11,670.0,1.0,3,457347,1,1,0,0,1,4,5.0,5,5,4.0
20,20064,8,0.0,966.0,1743,5,529.0,2.0,0,279000,31,0,0,0,0,4,4.0,5,4,2.0
20,9819,6,0.0,1567.0,1567,5,714.0,1.0,2,196000,32,0,0,0,0,3,3.0,3,4,3.0
20,10400,7,189.0,1090.0,1370,6,479.0,0.0,2,152000,33,0,0,0,0,3,4.0,3,3,3.0
90,11643,5,368.0,1248.0,2634,12,968.0,1.0,2,200000,40,0,0,0,0,3,3.0,3,3,0.0
20,11645,8,198.0,1570.0,1590,6,754.0,1.0,2,294900,1,1,0,0,0,4,5.0,5,5,0.0
20,7328,7,140.0,1450.0,1450,6,788.0,0.0,2,224243,1,0,0,0,0,4,4.0,5,4,0.0
50,7822,6,0.0,832.0,1338,7,528.0,0.0,2,92000,91,0,0,0,0,3,2.0,3,3,0.0
60,9018,7,0.0,728.0,1456,8,400.0,0.0,2,179540,0,1,0,0,0,4,4.0,5,4,4.0
20,13472,10,922.0,2392.0,2392,8,968.0,0.0,2,386250,6,1,0,1,0,5,5.0,5,5,5.0
180,1533,4,0.0,530.0,992,4,297.0,1.0,1,106500,37,0,0,0,0,3,4.0,3,3,0.0
60,11003,10,160.0,1017.0,2007,10,812.0,1.0,2,310000,1,0,0,0,0,5,5.0,5,5,5.0
60,10790,7,275.0,1066.0,2385,8,600.0,0.0,2,252000,9,0,1,0,0,4,4.0,5,4,3.0
75,7128,7,0.0,918.0,1646,7,240.0,0.0,2,164000,66,0,0,0,0,3,3.0,4,3,4.0
60,7713,7,16.0,728.0,1456,7,400.0,0.0,2,177594,0,0,0,0,0,4,4.0,5,4,0.0
50,6240,5,0.0,528.0,1040,5,624.0,0.0,1,123900,74,0,0,0,0,3,3.0,4,3,0.0
70,22420,6,0.0,1370.0,2624,10,864.0,1.0,2,239000,89,1,0,0,0,3,4.0,3,3,4.0
20,15300,5,0.0,1068.0,1264,7,528.0,1.0,1,169000,45,1,0,0,0,3,3.0,3,3,3.0
120,3196,7,18.0,1374.0,1557,7,420.0,0.0,2,234000,3,0,0,0,0,4,4.0,5,4,3.0
85,9360,6,0.0,957.0,1287,5,541.0,1.0,1,173000,32,0,0,0,0,3,4.0,3,3,2.0
20,11241,6,180.0,1004.0,1004,5,480.0,1.0,1,149000,40,0,0,0,0,3,3.0,5,3,3.0
20,9260,7,0.0,1162.0,1162,6,483.0,0.0,2,170000,1,0,0,0,0,4,4.0,5,4,0.0
20,7993,7,0.0,1436.0,1436,6,529.0,0.0,2,225000,1,0,0,0,0,4,5.0,5,4,0.0
20,9239,5,0.0,960.0,960,6,300.0,1.0,1,144900,45,0,0,0,0,3,3.0,5,4,0.0
20,10044,5,0.0,1196.0,1196,6,336.0,1.0,1,144000,42,0,0,0,0,3,4.0,3,3,0.0
120,3182,8,16.0,1256.0,1269,6,430.0,0.0,2,192000,6,0,0,0,0,4,4.0,5,4,3.0
20,7626,5,0.0,1031.0,1031,5,230.0,1.0,1,145500,57,1,0,0,0,4,3.0,4,4,0.0
50,7008,4,0.0,448.0,720,5,280.0,0.0,1,86900,106,0,0,0,0,3,2.0,5,2,0.0
20,12160,6,90.0,1505.0,1505,6,505.0,1.0,1,149500,56,1,0,0,0,3,3.0,5,3,3.0
30,6305,5,0.0,920.0,954,5,240.0,0.0,1,119750,69,0,0,0,0,3,2.0,5,2,4.0
60,8846,6,0.0,750.0,1500,6,564.0,0.0,2,173900,1,0,0,0,0,3,4.0,5,4,0.0
20,10659,5,0.0,1050.0,1050,6,368.0,1.0,1,136500,45,1,0,0,0,3,3.0,3,3,0.0
160,13108,8,0.0,2062.0,2687,9,618.0,0.0,2,270000,12,0,0,0,1,4,4.0,5,4,0.0
20,13500,6,0.0,1602.0,1252,4,564.0,1.0,1,235000,48,0,0,0,0,3,4.0,4,3,4.0
80,7750,7,0.0,384.0,1430,7,400.0,0.0,2,156000,10,0,0,0,0,3,4.0,5,3,3.0
20,12450,5,0.0,1114.0,1114,6,576.0,1.0,2,153000,6,0,0,0,0,3,4.0,5,4,0.0
120,4500,6,425.0,1224.0,1224,5,402.0,1.0,2,165000,10,1,0,0,0,3,5.0,5,3,0.0
60,11198,9,245.0,1122.0,2504,11,656.0,0.0,2,325000,3,1,0,0,1,4,4.0,5,5,4.0
190,6221,5,0.0,728.0,1355,5,528.0,0.0,2,140000,66,0,0,0,0,3,3.0,5,3,0.0
80,13200,6,234.0,741.0,2294,9,658.0,0.0,3,202500,44,0,0,0,0,3,3.0,2,3,4.0
120,8769,9,766.0,1702.0,1702,7,1052.0,1.0,1,367294,0,1,0,1,0,5,5.0,5,5,4.0
80,10200,6,219.0,1461.0,1509,5,600.0,1.0,2,175000,20,0,0,0,0,4,4.0,5,4,2.0
70,9550,7,0.0,756.0,1717,7,642.0,1.0,1,140000,91,0,0,0,0,3,3.0,4,4,4.0
20,10331,7,0.0,1265.0,1240,6,528.0,0.0,2,174000,22,0,0,0,0,3,4.0,4,4,0.0
80,9587,7,182.0,856.0,1166,5,400.0,1.0,2,190000,3,0,0,0,0,4,4.0,5,4,0.0
70,9900,5,0.0,504.0,1464,7,0.0,0.0,2,129000,99,0,0,0,0,4,3.0,5,3,0.0
20,22002,6,136.0,1592.0,1652,6,510.0,1.0,1,200000,48,0,0,0,0,3,3.0,4,4,4.0
