MS SubClass,Lot Area,Overall Qual,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Fireplaces,Garage Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Pool Area,SalePrice,Overall Cond,Lot Frontage,Bsmt Unf SF,years_remod,years_to_sell,Lot Shape_IR1,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_Bnk,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_Corner,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Land Slope_Gtl,Land Slope_Mod,Land Slope_Sev,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Exter Qual Ord,Exter Cond Ord,Bsmt Qual Ord,Bsmt Cond Ord,Heating QC Ord,Kitchen Qual Ord,Fireplace Qu Ord,Garage Qual Ord,PorchArea
160,1680,6,232.0,483.0,987,4,0,264.0,0.0,1,1,2,1,0,85400,5,21.0,96.0,0,37,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,0
20,7488,7,0.0,1208.0,1208,6,0,632.0,0.0,2,0,2,1,0,183600,5,64.0,815.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,3.0,5,4,0.0,3.0,58
70,26400,5,0.0,0.0,2016,7,1,576.0,0.0,1,0,4,1,0,131000,7,120.0,0.0,-127,129,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0.0,0.0,5,3,3.0,3.0,0
160,2645,8,456.0,960.0,1607,7,0,480.0,1.0,2,1,3,1,0,200000,5,24.0,147.0,-1,9,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4.0,3.0,5,4,0.0,3.0,0
20,9627,7,0.0,1351.0,1361,6,0,610.0,0.0,2,0,3,1,0,193000,5,74.0,1327.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,3.0,5,4,0.0,3.0,50
20,10114,5,0.0,1430.0,1430,7,0,624.0,0.0,2,0,3,1,0,173500,5,93.0,1430.0,-1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.0,3.0,5,4,0.0,3.0,0
70,4571,5,0.0,624.0,1344,7,0,513.0,0.0,1,0,4,1,0,98000,5,34.0,624.0,-34,92,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3.0,3.0,2,3,0.0,2.0,96
20,8816,5,0.0,1121.0,1121,5,0,480.0,1.0,1,0,3,1,0,139000,6,80.0,470.0,0,46,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,80
20,8197,6,148.0,660.0,1285,7,1,528.0,0.0,1,1,3,1,0,143500,5,71.0,660.0,0,30,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,3.0,5,3,3.0,3.0,0
60,8640,7,0.0,756.0,1547,7,0,614.0,0.0,2,1,3,1,0,215200,5,72.0,732.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4.0,3.0,5,4,0.0,3.0,45
20,8724,5,0.0,894.0,894,5,1,450.0,0.0,1,0,3,1,0,129000,5,109.0,402.0,0,39,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4.0,3.0,4,3,1.0,3.0,0
120,5664,8,0.0,1501.0,1659,5,1,499.0,1.0,2,0,2,1,0,278000,5,40.0,343.0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,4.0,3.0,5,5,5.0,3.0,59
60,12867,8,0.0,1209.0,2253,8,1,575.0,0.0,2,1,3,1,0,344133,5,103.0,1209.0,-1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,5.0,3.0,5,5,4.0,3.0,142
20,7980,6,0.0,1168.0,1187,6,0,420.0,1.0,2,0,3,1,0,185000,7,0.0,233.0,-15,18,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.0,3.0,5,3,0.0,3.0,21
190,34650,5,0.0,1056.0,1056,5,0,572.0,1.0,1,0,3,1,0,145000,5,100.0,0.0,0,51,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,0
20,10573,6,3.0,1453.0,1453,6,1,530.0,1.0,2,0,3,1,0,187500,6,92.0,141.0,0,48,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,5,3,3.0,3.0,337
20,8450,5,0.0,894.0,894,5,1,336.0,1.0,1,0,3,1,0,138500,8,65.0,224.0,-44,45,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3.0,3.0,5,3,4.0,3.0,144
50,11700,5,0.0,942.0,1938,7,1,240.0,0.0,2,0,4,1,0,198000,6,0.0,336.0,-58,71,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,5,4,4.0,3.0,40
190,8250,5,0.0,957.0,1991,9,0,0.0,0.0,2,0,4,2,0,119600,6,75.0,957.0,-111,112,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.0,3.0,2,3,0.0,0.0,133
50,8064,5,0.0,672.0,924,6,1,576.0,0.0,1,0,3,1,0,122900,7,60.0,672.0,-57,58,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.0,3.0,5,3,1.0,3.0,0
20,9600,8,0.0,2524.0,2524,9,1,542.0,1.0,2,1,4,1,0,278000,5,80.0,1420.0,0,28,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,4.0,3.0,3,4,4.0,3.0,120
70,11435,8,0.0,792.0,1517,7,2,400.0,0.0,1,0,3,1,0,230000,7,0.0,792.0,-21,77,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4.0,3.0,2,4,4.0,3.0,0
120,9549,8,0.0,1494.0,1494,6,1,481.0,1.0,1,1,2,1,0,270000,5,30.0,0.0,-1,11,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4.0,4.0,5,5,4.0,3.0,246
20,10950,6,0.0,948.0,948,5,0,410.0,0.0,1,0,2,1,0,125000,6,60.0,507.0,0,55,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,48
20,10637,8,336.0,1705.0,1718,7,1,826.0,1.0,2,0,3,1,0,297000,5,79.0,417.0,-1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5.0,3.0,5,4,4.0,3.0,44
20,9000,6,82.0,160.0,1142,5,1,384.0,0.0,1,0,2,1,0,113500,6,80.0,160.0,0,51,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4.0,3.0,2,3,4.0,3.0,92
160,2665,5,0.0,757.0,1475,6,1,336.0,0.0,2,0,4,1,0,127000,6,41.0,36.0,0,29,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,5,3,3.0,3.0,26
20,11751,6,480.0,1844.0,1844,7,1,546.0,0.0,2,0,3,1,0,190000,6,105.0,1139.0,0,33,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4.0,3.0,5,3,3.0,3.0,122
20,9600,7,320.0,1242.0,1242,6,1,528.0,0.0,1,1,3,1,0,175500,6,80.0,326.0,0,34,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,2,3,3.0,3.0,0
20,8428,5,0.0,990.0,990,5,0,384.0,1.0,1,0,3,1,0,146000,7,60.0,570.0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.0,4.0,5,3,0.0,3.0,0
20,9937,5,0.0,1256.0,1256,6,0,276.0,1.0,1,1,3,1,0,147500,6,75.0,136.0,0,43,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3.0,3.0,4,3,0.0,3.0,68
20,13891,10,0.0,2076.0,2076,7,1,850.0,1.0,2,1,2,1,0,465000,5,107.0,690.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,5.0,4.0,5,5,4.0,3.0,229
85,9101,5,104.0,1097.0,1110,4,1,602.0,1.0,1,0,1,1,0,165500,6,0.0,0.0,0,31,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.0,3.0,5,4,3.0,3.0,30
50,12150,5,335.0,1050.0,1795,7,0,352.0,0.0,2,0,4,1,0,131500,5,81.0,1050.0,0,54,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3.0,3.0,5,3,0.0,2.0,0
20,11200,5,0.0,1040.0,1040,5,0,384.0,1.0,1,0,3,1,0,129500,5,70.0,134.0,0,43,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,3.0,5,3,0.0,3.0,0
70,9670,8,40.0,608.0,1873,9,2,786.0,0.0,1,1,4,1,0,257076,6,100.0,398.0,-15,73,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,2.0,3,3,4.0,2.0,207
50,10998,5,0.0,984.0,1604,6,0,660.0,0.0,2,0,3,1,0,117000,5,60.0,156.0,-19,68,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,5,3,0.0,3.0,68
70,7200,7,0.0,776.0,1502,6,1,270.0,0.0,1,1,3,1,0,149000,6,60.0,776.0,-69,77,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4.0,3.0,3,3,4.0,3.0,112
20,9920,5,110.0,1056.0,1063,6,0,280.0,1.0,1,0,3,1,0,128000,5,80.0,412.0,0,56,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,164
160,2448,7,106.0,764.0,1626,6,0,474.0,0.0,2,1,2,1,0,155000,5,36.0,764.0,-1,5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,4.0,3.0,5,4,0.0,3.0,27
160,2998,6,513.0,756.0,1524,4,0,440.0,0.0,2,1,2,1,0,166000,5,0.0,403.0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4.0,3.0,5,4,0.0,3.0,32
50,7804,4,0.0,1122.0,1981,7,2,576.0,1.0,2,0,4,1,0,135000,3,65.0,500.0,-22,81,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3.0,3.0,3,4,3.0,3.0,44
60,16692,7,184.0,1392.0,2784,12,2,564.0,1.0,3,1,5,1,519,250000,5,80.0,133.0,0,28,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4.0,3.0,3,4,3.0,3.0,552
160,1476,4,0.0,546.0,1092,5,0,0.0,0.0,1,1,3,1,0,76000,7,21.0,370.0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,5,3,0.0,0.0,26
20,10170,6,522.0,216.0,1575,5,1,400.0,0.0,1,1,2,1,0,155000,6,75.0,216.0,0,55,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,3.0,3,4,4.0,3.0,0
60,9364,6,143.0,663.0,1352,7,0,299.0,0.0,1,1,4,1,0,158000,7,80.0,292.0,0,41,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,3.0,3,3,0.0,3.0,36
